model,EMODB,SAVEE,RAVDESS,IEMOCAP,EMODB+AWGN,SAVEE+AWGN,RAVDESS+AWGN,IEMOCAP+AWGN
DenseNet121,0.49122807017543857,0.375,0.5844155844155844,0.523109243697479,,,,
DenseNet169,0.42105263157894735,0.4583333333333333,0.6233766233766234,,,,,
DenseNet201,0.49122807017543857,0.375,0.5844155844155844,,,,,
InceptionV3,0.45614035087719296,0.4166666666666667,0.4675324675324675,,,,,
MobileNet,0.6491228070175439,0.3333333333333333,0.5584415584415584,,,,,
ResNet152V2,0.45614035087719296,0.4583333333333333,0.4805194805194805,,,,,
ResNet50V2,0.5614035087719298,0.3333333333333333,0.5844155844155844,,,,,
VGG16,0.3684210526315789,0.25,0.44155844155844154,,,,,
VGG19,0.38596491228070173,0.3333333333333333,0.2987012987012987,,,,,
Xception,0.5263157894736842,0.5208333333333334,0.5584415584415584,,,,,
